country,continent,edu_spend_gdp_pct,upper_secondary_completion_pct,adolescent_birth_rate,population_millions
Egypt,Other,3.93084812164307,76.06,50.0,114.535772
El Salvador,Other,4.5310001373291,62.64,50.1,6.3096239999999995
Equatorial Guinea,Other,,5.43,176.0,1.8475489999999999
Eritrea,Other,,,76.0,3.47039
Estonia,Other,5.90999984741211,85.77,5.7,1.3671959999999999
Eswatini,Other,6.31300020217896,36.6406784057617,87.0,1.230506
Ethiopia,Other,3.73600006103516,15.5432796478272,72.4,128.691692
Fiji,Other,5.97499990463257,54.5657501220703,31.0,0.924145
Finland,Other,5.71000003814697,90.22,3.3,5.601185
France,Other,5.23999977111816,91.44,6.4,66.438822
Gabon,Other,2.20799994468689,21.7880096435547,100.1,2.484789
Gambia,Other,2.7279999256134,28.7977600097656,64.8,2.6978449999999996
Georgia,Asia,3.81284999847412,77.2731170654297,21.9,3.8074920000000003
Germany,Other,4.54389047622681,78.37,5.9,84.548231
Ghana,Other,2.90499997138977,47.6772613525391,63.0,33.787913999999994
Greece,Other,4.09000015258789,93.06,7.4,10.242908
Grenada,Other,3.93499994277954,,30.1,0.117081
Guatemala,Other,3.22940993309021,25.6493492126465,65.2,18.124838
Guinea,Other,1.98599994182587,16.3962707519531,127.6,14.405468
Guinea-Bissau,Other,,19.19,84.5,2.153339
Guyana,Other,4.45058012008667,61.7521286010742,64.9,0.826353
Haiti,Other,1.02699995040894,16.4076099395752,54.8,11.637398
Holy See,Other,,,,0.000496
Honduras,Other,4.44199991226196,42.43,97.0,10.644851000000001
Hungary,Other,5.01000022888184,84.25,18.9,9.686463
Iceland,Other,7.13966512680054,,3.2,0.387558
India,Asia,4.63500022888184,50.6323509216309,11.3,1438.0695959999998
Indonesia,Asia,2.42012596130371,63.1106986999512,36.1,281.190067
Iran (Islamic Republic of),Asia,2.6699800491333,,23.8,90.608707
Iraq,Asia,,32.1276817321777,70.0,45.074049
Ireland,Other,2.9300000667572,,4.4,5.19663
Israel,Asia,6.46000003814697,,6.7,9.256314
Italy,Other,4.01999998092651,84.62,2.9,59.499453
Jamaica,Other,5.65500020980835,87.2332229614258,35.9,2.839786
Japan,Asia,3.46000003814697,,2.0,124.370947
Jordan,Asia,3.24026989936829,56.73046875,17.0,11.439213
Kazakhstan,Asia,4.20499992370605,97.609489440918,19.7,20.330104
Kenya,Other,4.62815570831299,58.862491607666,43.8,55.339003
Kiribati,Other,16.582462310791,16.726770401001,50.6,0.13253
Kuwait,Asia,,,2.1,4.838782
Kyrgyzstan,Asia,7.95900011062622,83.3573989868164,30.0,7.073516
Lao People's Democratic Republic,Other,1.39400005340576,31.0896492004394,83.3,7.664993000000001
Latvia,Other,5.61999988555908,90.7,8.8,1.882396
Lebanon,Asia,1.66999995708466,,16.7,5.773493
Lesotho,Other,6.69199991226196,31.8659591674805,49.1,2.311472
Liberia,Other,2.41700005531311,19.42160987854,130.8,5.493031
Libya,Other,,,10.9,7.3056589999999995
Liechtenstein,Other,,,1.0,0.039598
Lithuania,Other,4.75,91.35,6.2,2.854099
Luxembourg,Other,4.70302200317383,78.79,2.8,0.665098
Madagascar,Other,3.13899993896484,14.0373697280884,143.0,31.195932
Malawi,Other,3.32295989990234,15.4821195602417,135.6,21.104482
Malaysia,Asia,3.50600004196167,,6.0,35.126298000000006
Maldives,Asia,4.58099985122681,40.2603492736816,5.1,0.5259940000000001
